,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
4,active_wear,5.294086854293688,97.6526095006975,0.3824240510625852,0.4566407826904609,-16.252760252950143,-15.30811928942833,0.1064895522725904,7
7,leggings,2.7277905925953942,89.82474356578366,0.4077145280483736,0.4557893759203927,-10.547601680039117,-9.70727369919291,0.1059065724970492,9
10,sports_bra,1.987110098363247,83.82541455354132,0.4304903591904015,0.4580265909290031,-6.011928626840342,-4.663323223784463,0.1144097520075966,24
16,corset,1.11839321220612,70.71872868345326,0.4285211624192575,0.4549108719278825,-5.801072503892268,-5.099422829899655,0.0655463375300322,13
17,stand,0.931359473958359,66.31620085310655,0.4284274207894417,0.4543422097181103,-5.703803955337332,-5.120182912608676,0.0994704631566398,11
22,leg,0.4175073427538331,48.03364297731143,0.4425546756850146,0.4547848862604866,-2.6892297754298906,-1.991551794719347,0.0812656199012722,27
26,back,0.2568703647230498,38.66057949808024,0.4393647868560704,0.453020110523243,-3.0142864190732293,-2.6979866631076765,0.0464507125342979,11
27,dress,0.2154203272721336,35.64394006103795,0.439779850031884,0.4528265675294896,-2.8811731539483847,-2.606066500461822,0.0670312003864948,10
30,waist,0.129673306277395,28.0469556958174,0.4463989510992862,0.4533088155848743,-1.5243172530568851,-1.1401960447359507,0.0519763827482281,26
31,tank_top,0.1173087577890965,26.73092528941121,0.4400899855983846,0.4522635708275165,-2.691701479926329,-2.537383674867591,0.0706611970052851,6
32,blonde,0.1081861625158911,25.709346872346174,0.4414134336974173,0.4522941966015785,-2.405682625582302,-2.24429199243162,0.0917291177926959,7
36,tan,0.0602886341787372,19.345645961521353,0.4485095332303513,0.4529362521380093,-0.9773381765673124,-0.6727851442516107,0.0515361764817631,32
41,skin,0.0046574399277672,5.427347108684877,0.4505711342211326,0.451881489780032,-0.2899777017946043,-0.2162216391611032,0.0646757950658216,26
