,Feature,RFECV Importance
0,ctr,1
1,contentFeaturization.visualContentDensity##high,7
2,contentFeaturization.visualContentDensity##low,5
3,contentFeaturization.visualAttentionSpread##high,9
4,contentFeaturization.visualAttentionSpread##low,9
5,contentFeaturization.foregroundColors##pink,10
6,contentFeaturization.foregroundColors##khaki,3
7,contentFeaturization.foregroundColors##dark_pink,8
8,contentFeaturization.foregroundColors##dark_brown,3
9,contentFeaturization.foregroundColors##black,2
10,contentFeaturization.foregroundColors##orange,3
11,contentFeaturization.foregroundColors##dark_gray,7
12,contentFeaturization.foregroundColors##brown,4
13,contentFeaturization.backgroundColors##khaki,4
14,contentFeaturization.backgroundColors##orange,6
15,contentFeaturization.backgroundColors##off_white,6
16,contentFeaturization.backgroundColors##brown,6
17,contentFeaturization.backgroundColors##white,7
18,contentFeaturization.tags##corset,6
19,contentFeaturization.tags##lace,8
20,contentFeaturization.tags##stand,4
21,contentFeaturization.tags##leg,4
22,contentFeaturization.tags##posing,3
23,contentFeaturization.tags##active_wear,8
24,contentFeaturization.tags##tank_top,7
25,contentFeaturization.tags##holding,8
26,contentFeaturization.tags##lingerie,9
27,contentFeaturization.tags##bodysuit,2
28,contentFeaturization.tags##underpants,4
29,contentFeaturization.tags##dress,10
30,contentFeaturization.tags##hair,10
31,contentFeaturization.tags##sports_bra,2
32,contentFeaturization.tags##tan,6
33,contentFeaturization.tags##camisole,8
34,contentFeaturization.tags##underwear,3
35,contentFeaturization.tags##waist,5
36,contentFeaturization.tags##blonde,10
37,contentFeaturization.tags##face,7
38,contentFeaturization.tags##shorts,5
39,contentFeaturization.tags##leggings,5
40,contentFeaturization.tags##back,5
41,contentFeaturization.tags##skin,9
42,contentFeaturization.tags##thigh,9
43,contentFeaturization.tags##style,10
