,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
1,contentFeaturization_tags##leopard_print,4.353093938424529,96.267608482611,0.0609294077476794,0.1330515547094932,-54.206166263360345,-53.72635737931686,0.0622415488303334,9
2,contentFeaturization_visualAttentionSpread##high,4.331651719900776,96.22063197897197,0.1126588779823742,0.135638624905994,-16.941890217145843,-14.439728687464894,0.0970428612258466,103
5,contentFeaturization_tags##cotton,3.2567909269859827,92.8417484442654,0.0861305613206828,0.1332084012705498,-35.34149460607264,-34.58700879258252,0.0649996582270298,16
8,contentFeaturization_foregroundColors##dark_brown,2.713255352575428,90.00077232204166,0.1202770236954272,0.1357576349023116,-11.403123822850926,-8.654027411359412,0.0835963214551788,158
13,contentFeaturization_foregroundColors##gray,1.864300797441088,82.74069796925181,0.0917700863157703,0.132815785228003,-30.90423238606021,-30.303997126790875,0.0917980488818723,12
14,contentFeaturization_foregroundColors##off_white,1.8146682016497837,82.15898263278862,0.1035942600584593,0.1330958892716109,-22.165695255205957,-21.32397236896128,0.0940037393217758,23
16,contentFeaturization_tags##shorts,1.4752778842606038,77.50521290237768,0.1219207183100432,0.13440548876667,-9.288884383509476,-7.405701849271841,0.1053160593448288,124
17,contentFeaturization_backgroundColors##white,1.4198874481490535,76.61510556715474,0.1300169161860642,0.1431505763485694,-9.174716929203946,-1.2569375505478495,0.0989004568777176,560
19,contentFeaturization_backgroundColors##orange,1.16876988088378,71.99521881037944,0.1217870204477475,0.1338979272334617,-9.044879958894294,-7.507240454810924,0.117962170915668,100
22,contentFeaturization_tags##underpants,1.0889304877478747,70.29107928886177,0.1281016005980216,0.1364751568118655,-6.135590102590611,-2.7115492446895906,0.1013549511408456,349
23,contentFeaturization_tags##skin,0.8834481703610343,65.23981867000661,0.1260355508635596,0.1344236831460776,-6.240070266042858,-4.280637975126099,0.1000365927954125,186
24,contentFeaturization_tags##leggings,0.8589835376159894,64.56389418105313,0.1177801838174752,0.1330391724824971,-11.469545683643952,-10.55028540014345,0.1099882872388265,42
27,contentFeaturization_tags##underwear,0.7335988903268751,60.79709464858257,0.1309723214908893,0.1427708946279326,-8.263990477744738,-0.5313423861165102,0.101452104465292,602
28,contentFeaturization_overallTone##neutral,0.710724349778459,60.04920572058413,0.1312414865766291,0.1457884844072982,-9.978152862902547,-0.3269214103691199,0.1022389388871608,626
32,contentFeaturization_tags##back,0.6510108933717538,57.99587338390471,0.1209791464810363,0.1330166950775054,-9.049652443593722,-8.120790997973252,0.117946583107367,52
34,contentFeaturization_foregroundColors##khaki,0.5895753668729395,55.71428432120338,0.1296204740154154,0.1359349633883277,-4.645228288231892,-1.558020787731769,0.1029964833872231,406
35,contentFeaturization_tags##active_wear,0.5747964147650333,55.13709722920404,0.1199081320819323,0.1328331453652029,-9.730262162907778,-8.93418701440889,0.1041870796479517,39
39,contentFeaturization_visualContentDensity##high,0.507846421883658,52.36762902474169,0.1243555866890169,0.1331313117625442,-6.591781420421859,-5.556508933042938,0.0908571390438452,80
41,contentFeaturization_foregroundColors##dark_pink,0.4607597704784769,50.249366581297274,0.1177085878003299,0.1325894469345391,-11.22326058238714,-10.604659940007163,0.0986690868274389,23
42,contentFeaturization_tags##flower,0.420872018404516,48.327277599524606,0.1136695599608573,0.1324415187787343,-14.173771934191356,-13.672152923899878,0.0758000893658973,13
43,contentFeaturization_foregroundColors##light_blue,0.392697139776787,46.88989004200299,0.111757179982418,0.132384650159974,-15.58146669770981,-15.12453513059578,0.0821213549283544,10
45,contentFeaturization_tags##hair,0.3610061878728661,45.184639169495775,0.1259512737133695,0.133021686337317,-5.315233041038393,-4.344643368796345,0.0879382620783335,89
47,contentFeaturization_tags##holding,0.3235885796807374,43.03480921111387,0.1214020153881956,0.1325613772569913,-8.41826035585121,-7.799637627070248,0.1148576575894011,29
48,contentFeaturization_tags##sitting,0.2647179446737791,39.29310460199993,0.1161800473596618,0.132341734277934,-12.212086388659978,-11.765530145338,0.0603966044203671,11
52,contentFeaturization_tags##lingerie,0.1893070600830696,33.63642214641246,0.1314703390837515,0.137115801799754,-4.117295484474661,-0.1531163543396677,0.1012649108519659,593
55,contentFeaturization_foregroundColors##pink,0.1186896408876252,26.943053768503066,0.1279157246730495,0.1325329350769664,-3.4838211356562128,-2.852715168369142,0.1063264427459557,66
56,contentFeaturization_tags##leg,0.0883229185821957,23.358662855544043,0.1302523060462706,0.132853600217719,-1.9580155653933675,-1.0781676154644502,0.1070101407327387,199
58,contentFeaturization_foregroundColors##orange,0.0786952030439406,22.08388766952769,0.1314532380349421,0.1341124828687848,-1.9828466202094623,-0.1661039714903503,0.1023870437023194,509
59,contentFeaturization_foregroundColors##red,0.0778588597897006,21.969259128599315,0.123453040114292,0.1322192183203522,-6.630033301831159,-6.241959837478064,0.0926286292787154,11
60,contentFeaturization_foregroundColors##dark_blue,0.0449214029566392,16.778614510890442,0.127945741377136,0.1322489764321264,-3.2538891196628263,-2.8299185864082523,0.0893256923398971,27
62,contentFeaturization_backgroundColors##brown,0.0316798427575589,14.121340329988751,0.129888582990798,0.1323071061550602,-1.82796165266265,-1.354401888929584,0.1114926770670789,64
63,contentFeaturization_tags##tan,0.0184650657647984,10.804746399452359,0.1311701090161065,0.1324025127486577,-0.9308008639463684,-0.3811300404683566,0.1098375937024306,177
69,contentFeaturization_foregroundColors##beige,0.0045032060657215,5.348236663559902,0.1301696536100941,0.132112023821069,-1.4702448382788031,-1.1409390986404797,0.0901405393469448,13
