,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
1,leopard_print,4.353093938424529,96.267608482611,0.0609294077476794,0.1330515547094932,-54.206166263360345,-53.72635737931686,0.0622415488303334,9
5,cotton,3.2567909269859827,92.8417484442654,0.0861305613206828,0.1332084012705498,-35.34149460607264,-34.58700879258252,0.0649996582270298,16
16,shorts,1.4752778842606038,77.50521290237768,0.1219207183100432,0.13440548876667,-9.288884383509476,-7.405701849271841,0.1053160593448288,124
22,underpants,1.0889304877478747,70.29107928886177,0.1281016005980216,0.1364751568118655,-6.135590102590611,-2.7115492446895906,0.1013549511408456,349
23,skin,0.8834481703610343,65.23981867000661,0.1260355508635596,0.1344236831460776,-6.240070266042858,-4.280637975126099,0.1000365927954125,186
24,leggings,0.8589835376159894,64.56389418105313,0.1177801838174752,0.1330391724824971,-11.469545683643952,-10.55028540014345,0.1099882872388265,42
27,underwear,0.7335988903268751,60.79709464858257,0.1309723214908893,0.1427708946279326,-8.263990477744738,-0.5313423861165102,0.101452104465292,602
32,back,0.6510108933717538,57.99587338390471,0.1209791464810363,0.1330166950775054,-9.049652443593722,-8.120790997973252,0.117946583107367,52
35,active_wear,0.5747964147650333,55.13709722920404,0.1199081320819323,0.1328331453652029,-9.730262162907778,-8.93418701440889,0.1041870796479517,39
42,flower,0.420872018404516,48.327277599524606,0.1136695599608573,0.1324415187787343,-14.173771934191356,-13.672152923899878,0.0758000893658973,13
45,hair,0.3610061878728661,45.184639169495775,0.1259512737133695,0.133021686337317,-5.315233041038393,-4.344643368796345,0.0879382620783335,89
47,holding,0.3235885796807374,43.03480921111387,0.1214020153881956,0.1325613772569913,-8.41826035585121,-7.799637627070248,0.1148576575894011,29
48,sitting,0.2647179446737791,39.29310460199993,0.1161800473596618,0.132341734277934,-12.212086388659978,-11.765530145338,0.0603966044203671,11
52,lingerie,0.1893070600830696,33.63642214641246,0.1314703390837515,0.137115801799754,-4.117295484474661,-0.1531163543396677,0.1012649108519659,593
56,leg,0.0883229185821957,23.358662855544043,0.1302523060462706,0.132853600217719,-1.9580155653933675,-1.0781676154644502,0.1070101407327387,199
63,tan,0.0184650657647984,10.804746399452359,0.1311701090161065,0.1324025127486577,-0.9308008639463684,-0.3811300404683566,0.1098375937024306,177
