,Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Distance Correlation,mutual_info_score_reg,pearson_corr,Boost_Factor,t_stat,p_value,WoE,IV,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,inc_dec_presence,inc_dec_presence_overall
1,contentFeaturization_visualAttentionSpread##low,6.239712126928935,0.012491677872186982,4.776186152983057,0.029205687929368927,0.0926550839847964,0.0,0.08463511375616203,1.0686754256017836,2.1854487303487833,0.029205687929366314,0.0324408759766364,0.0008982172745364643,0.1358372960038282,0.11181006963753283,0.10403404328050044,0.09695780585719524,560,21.48932242345177,3.1634266965361846
2,contentFeaturization_tags##leopard_print,5.552639546916354,0.018452839371875772,4.353093938424529,0.03732391517389018,0.08320059705710448,0.0,-0.08082520416856337,0.0,-2.0864069445878792,0.03732391517388741,-0.8524305919549059,0.007170927099241909,0.060929407747679486,0.13305155470949326,0.06224154883033345,0.10339682723010055,9,-54.206166263360345,-53.72635737931686
3,contentFeaturization_visualAttentionSpread##high,5.5403981132686075,0.018582354896926834,4.331651719900776,0.03779368021028034,0.08828716057639031,0.0,-0.0806271936113029,0.6703478707763193,-2.0812620497911287,0.03779368021027646,-0.18112088905876567,0.004758583484871717,0.11265887798237427,0.13563862490599402,0.09704286122584667,0.10404757572345183,103,-16.941890217145843,-14.439728687464894
29,contentFeaturization_tags##strap,0.858013198253227,0.3542952817954007,3.895870938461387,0.04882031668298296,0.08535325659646005,0.017267139702010326,0.07648902405026865,2.564907243959183,1.97379607317002,0.04882031668297865,0.3715510977506391,0.004040376482343989,0.18076205443395316,0.13079471109593507,0.15057480837017323,0.10157354042787448,17,38.202877562356576,37.2821272265819
6,contentFeaturization_tags##hip,4.091753102535141,0.04309292367793192,3.796470881963878,0.0517828860193789,0.08660827919142365,0.0,0.07551257711385459,1.9385090010798176,1.948453459019201,0.0517828860193735,0.25505815381099894,0.003976680517622859,0.1641476068218749,0.13018129434136813,0.11662597841290914,0.10220458263695385,37,26.09154614136694,24.664065775448694
12,contentFeaturization_tags##cotton,2.418436902365981,0.11991453066350455,3.2567909269859827,0.07158251555734596,0.07470895902056361,0.008030050290038782,-0.06996813234703964,0.152029826350508,-1.8046581191422335,0.07158251555733937,-0.47907929383553843,0.004626821463792595,0.08613056132068285,0.1332084012705498,0.06499965822702981,0.10379984685096398,16,-35.34149460607264,-34.58700879258252
0,contentFeaturization_tags##posing,6.440509193408685,0.011154666789802056,3.19767046037874,0.0742004655355155,0.10167809784028156,0.01569027289465219,0.069333239531158,1.0969256914094883,1.788203137336126,0.07420046553550944,0.04022728731533593,0.0011501191105778498,0.13675390241506724,0.12113853458010518,0.0997852625354884,0.11043869999152688,465,12.890504156326987,3.8595555293183668
8,contentFeaturization_backgroundColors##off_white,3.0584901664131987,0.08031626698487328,3.071270826517438,0.08015007909916445,0.06773251188923007,0.022369452815866442,0.06795555492321871,1.0341462801534622,1.752504158773224,0.08015007909916262,0.05410821540779476,0.0016461310749912674,0.1384008553365952,0.12430342265521259,0.10580557690168516,0.09966728048713883,366,11.341146028203477,5.1103556555805145
34,contentFeaturization_foregroundColors##dark_brown,0.5435838332359798,0.4609512530967267,2.713255352575428,0.09999227677958347,0.08339346932878072,0.019241395949371576,-0.06388930510821916,0.7695260881478716,-1.647196209495222,0.0999922767795704,-0.10706532029967715,0.002621853083357742,0.1202770236954272,0.13575763490231169,0.08359632145517885,0.10848185796835201,158,-11.403123822850926,-8.654027411359412
22,contentFeaturization_tags##boxer,1.105576522422675,0.293045539716323,2.5004437279653318,0.11429185722537441,0.05661671621375674,0.0,0.061342419971688544,0.9120578385975695,1.5812791429615893,0.11429185722536679,0.33353824011825056,0.0026457865185088164,0.17520099332208844,0.13114510630451995,0.1412386558652441,0.10223311301441021,14,33.593237490135834,33.05870599216153
24,contentFeaturization_tags##waist,1.0579576197006777,0.3036814671368556,2.3561391217246377,0.12526846620814183,0.06314594985797772,0.01848238811147196,0.05955249878789242,1.2441732941344545,1.5349720263655133,0.12526846620812418,0.07821781976888276,0.0019343152685946127,0.14130097343475795,0.12798203135599256,0.11366867830734247,0.09814263599521932,204,10.406884417795846,7.312888609583644
56,contentFeaturization_backgroundColors##pink,0.05630549536959174,0.8124335336734657,2.20077923709313,0.13841691422260263,0.08095342855455176,0.0,0.05756235448575924,1.705543902950265,1.483502354933465,0.1384169142225758,0.27339406459706594,0.0023616299853298785,0.16667886915060323,0.13105462711718718,0.16300958609378657,0.10098353439444271,19,27.182742660098036,26.586466348647008
19,contentFeaturization_foregroundColors##royal_blue,1.3809526901453135,0.23993893620698947,1.8674404588565587,0.17223245965983083,0.06048106505122202,0.0024446926414627423,0.05303745756824683,2.9341476133764135,1.3665432517328384,0.1722324596598168,0.3579662922392897,0.0019760334890003292,0.17875903751649863,0.1314325216287003,0.12358643545148551,0.10291581804987245,9,36.008223308304736,35.760909600681
14,contentFeaturization_foregroundColors##gray,2.241067777512068,0.1343881499327162,1.8643007974410881,0.17259302030748191,0.060681178466613736,0.006083007308170352,-0.052992979125772395,1.1738460674542703,-1.3653940081313847,0.1725930203074649,-0.40946704798410566,0.002601832166618086,0.09177008631577031,0.132815785228003,0.09179804888187235,0.10337229185009092,12,-30.904232386060215,-30.303997126790875
9,contentFeaturization_foregroundColors##off_white,3.0030891557599517,0.08310591766663207,1.8146682016497835,0.1784101736721137,0.06683757839464291,0.0009144693530382941,-0.05228476883538445,0.49429657711759695,-1.3470962109848663,0.17841017367209758,-0.27516709921872645,0.0023680572393280502,0.10359426005845931,0.13309588927161095,0.09400373932177589,0.10349585658551379,23,-22.165695255205954,-21.32397236896128
18,contentFeaturization_tags##standing,1.4340094677798891,0.23111120419846304,1.5711442660703385,0.21048341445915802,0.0630965266759225,0.00883608269224645,0.04865912401332509,1.451447875805738,1.253452937317689,0.2104834144591222,0.12018739806611044,0.001636733178717511,0.14647041697012642,0.1303230793624968,0.10741248392745356,0.10269735542190302,72,12.390236392984097,11.23889070850527
