,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
8,active_wear,3.609685444262641,93.96750951842562,0.3438942876017536,0.4139279305889736,-16.919284206690257,-15.943278627406093,0.084467655659464,7
10,tank_top,2.624557151730844,89.1628744323362,0.3484417483006077,0.412914197180845,-15.614006328777352,-14.831760783995282,0.0814532773641841,6
12,dress,1.437287642566821,76.65879899329036,0.3748725489866586,0.4128444340141107,-9.197625521615771,-8.371384648016042,0.0535078727310792,10
13,leggings,3.0350061756419504,91.54391688919297,0.3567869114107262,0.4141863571663251,-13.858362247443344,-12.791985551763396,0.1116412366056636,9
16,camisole,1.4207268517519087,76.38951956054984,0.3809734034581426,0.413599838303986,-7.888406093104836,-6.8801769050187565,0.0868647551698098,14
17,underpants,1.3350489240532202,74.93376909589375,0.396867561588952,0.4187960201344199,-5.23607137871788,-2.9952306595592924,0.080862872530936,45
18,corset,0.581369710229719,55.24292740652368,0.3902516253651734,0.4118780032518822,-5.250675616557075,-4.61233779925395,0.0565025130194854,13
19,tan,1.5429007096582843,78.29082521855996,0.3918274751906351,0.4170276316152064,-6.042802566095576,-4.227159055438125,0.0837198374154594,32
21,holding,0.8815277157357921,64.99541307783355,0.3764548086625434,0.4115287343002838,-8.522837584446222,-7.984639169798164,0.1007945290979458,7
25,blonde,0.4665046541883384,50.382105089906325,0.3853087614896355,0.4108763377761824,-6.222693773247746,-5.8205024781912735,0.1325475558966428,7
29,back,0.230690394056933,36.79385965814621,0.3960322436496437,0.4107039421870185,-3.5723296102898985,-3.199404121618289,0.0744178535227756,11
32,face,0.0045900169925384,5.387980800264924,0.406918778896603,0.4093091828509781,-0.584009363710114,-0.5384513435183605,0.1076444691643213,8
33,waist,0.161081356246712,31.098074681956554,0.402617766181537,0.4113467302426949,-2.122045325608355,-1.5897308804118586,0.0753544172608268,26
39,leg,0.002906528312242,4.288734686149997,0.408269360748708,0.4094285423859953,-0.2831218435656717,-0.2083339599904866,0.0803834160278784,27
41,skin,0.1787191075073785,32.66159841775309,0.4022715397107768,0.4114651761405865,-2.234365618991878,-1.6743576480952045,0.0785047997379498,26
42,hair,0.0298862507143629,13.69019950097673,0.4055796306090655,0.4098807150976379,-1.0493502939136454,-0.8657740660536111,0.1021417144684434,18
