,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
1,contentFeaturization_tags##lingerie,8.09146510234198,99.46055090686548,0.4194736803259644,0.3440521107485643,21.921554096355703,2.53029358582553,0.0940975781352439,88
2,contentFeaturization_foregroundColors##khaki,6.461371616400369,98.74406088657723,0.4282808489421389,0.3806166252120559,12.52289589387417,4.682994997686555,0.1047602521889033,61
3,contentFeaturization_backgroundColors##white,4.523606109952628,96.41093215825869,0.4156278513944165,0.3492651090878457,19.000679019981785,1.5902728218861593,0.0963002750569261,92
6,contentFeaturization_visualContentDensity##high,3.283779294126052,92.70313236211565,0.4577711732280663,0.4032409946555608,13.522974919522742,11.891198393493683,0.0824810587144699,11
7,contentFeaturization_tags##style,2.067885452119858,84.64478913632522,0.4404250476452251,0.4032978215911764,9.205907908841796,7.651353483073409,0.0739653218988104,16
11,contentFeaturization_tags##underwear,0.0179134238031629,10.620273705653094,0.4096068880699514,0.4058000293030065,0.9381119990265896,0.1185925561608464,0.0765329633795019,89
14,contentFeaturization_foregroundColors##dark_brown,3.551848444667099,93.76169649519525,0.4345255027134275,0.3969720555017632,9.45997248199189,6.2093510351249765,0.1151919138972067,33
20,contentFeaturization_tags##posing,0.7302987328473353,60.51709414334524,0.4139679336310536,0.3956599406235462,4.627204103264714,1.1845456843130342,0.100997486379856,75
22,contentFeaturization_tags##thigh,0.1447149432184294,29.555515458842052,0.422405989394701,0.4081428578252828,3.49464196076266,3.247026300660731,0.0767938214210213,7
23,contentFeaturization_foregroundColors##dark_gray,0.1054745275781323,25.3965227226431,0.4204650292291932,0.4082858759427413,2.982996474793544,2.772605079636186,0.0801821733721602,7
27,contentFeaturization_tags##shorts,0.0123906490055765,8.840896901140805,0.4116645282008772,0.4086832815649611,0.729476044260992,0.6215333999197628,0.0994841378490438,15
30,contentFeaturization_tags##sports_bra,0.0364198727288012,15.096207122866701,0.4123846822728603,0.4081177057002067,1.0455259629897031,0.7975578131083877,0.1536178365690927,24
31,contentFeaturization_tags##lace,0.0349193219577424,14.785658982629323,0.4120755520065951,0.4080583135331561,0.984476566267196,0.7219983240558152,0.0754669800912695,27
34,contentFeaturization_tags##stand,0.0072056412773623,6.747830295012481,0.4114376433322625,0.4088417510165921,0.6349381659812745,0.5660768283151606,0.0782717172379583,11
37,contentFeaturization_visualAttentionSpread##low,0.0050709000472028,5.662735624650839,0.4094343880267757,0.4076624902730897,0.4346482190448609,0.0764290524658481,0.0986135255580883,84
38,contentFeaturization_tags##bodysuit,0.2083324506670515,35.09326234384835,0.4151059923764905,0.4059955774028,2.243969018571787,1.4627168849396988,0.1188047350699788,35
