Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,t_stat,p_value,inc_dec_presence,inc_dec_presence_overall,pearson_corr,Distance Correlation,Boost_Factor
contentFeaturization_foregroundColors##dark_pink,8.835353558914443,0.0029545039535203333,7.981257935985221,0.00570658557146151,0.30596336122143325,0.4155690963732934,0.04874034263977005,0.09392713588792655,6,-2.825112021847138,0.005706585571461515,-26.37485224681014,-25.21458502911994,-0.27187012192251714,0.3145498308204001,0.0
contentFeaturization_tags##lingerie,8.008093117251075,0.0046568749546977515,8.09146510234198,0.005394490931345241,0.41947368032596444,0.3440521107485643,0.09409757813524396,0.07785677457735513,88,2.8445500702821134,0.005394490931345254,21.921554096355703,2.53029358582553,0.27360112637945455,0.27975015016629284,1.0835021204792645
contentFeaturization_foregroundColors##khaki,6.744495585877386,0.009403736010469918,6.461371616400369,0.012559391134227795,0.42828084894213897,0.38061662521205597,0.10476025218890331,0.07135291521281069,61,2.5419228187339598,0.012559391134227608,12.52289589387417,4.682994997686555,0.2463578079693941,0.26885991826986216,1.4066127660529966
contentFeaturization_backgroundColors##white,5.167360437577963,0.023015161121307397,4.523606109952628,0.03589067841741315,0.4156278513944165,0.3492651090878457,0.09630027505692614,0.06164832491688532,92,2.1268770791826794,0.0358906784174129,19.000679019981785,1.5902728218861593,0.20803442108370915,0.2569103979826181,1.052629473688421
contentFeaturization_foregroundColors##pink,4.766169430170643,0.029024335409485364,5.229136153404665,0.02431965110830348,0.34498246849335434,0.4160933558068612,0.09460961832224661,0.09327196050664681,10,-2.286730450535147,0.024319651108303142,-17.090128049656844,-15.677298873435335,-0.22291894157528697,0.23470195086652182,0.5421217527733885
contentFeaturization_visualContentDensity##low,4.223862059669298,0.039859338349985375,3.2837792941260617,0.07296867637884266,0.4032409946555608,0.4577711732280663,0.09548850834687556,0.08248105871446998,91,-1.8121201102923776,0.07296867637884324,-11.912104073302586,-1.4373976080047541,-0.17830803728285657,0.22500375751444188,0.8675454987939184
contentFeaturization_visualContentDensity##high,4.223862059669298,0.039859338349985375,3.283779294126052,0.07296867637884345,0.4577711732280663,0.4032409946555608,0.08248105871446998,0.09548850834687556,11,1.8121201102923776,0.07296867637884324,13.522974919522742,11.891198393493685,0.17830803728285655,0.22500375751446192,2.748348070231596
contentFeaturization_tags##style,4.060912576381591,0.04388677612391505,2.067885452119858,0.15355210863674787,0.44042504764522517,0.4032978215911764,0.07396532189881042,0.09805037083888701,16,1.4380144130431582,0.15355210863674765,9.205907908841795,7.651353483073409,0.1423372858241159,0.21959643832751766,3.491054042115264
contentFeaturization_tags##active_wear,3.8116782992103406,0.050896428675991874,3.609685444262641,0.060324904815743825,0.3438942876017536,0.41392793058897365,0.08446765565946408,0.09470290764888754,7,-1.8999172203710997,0.06032490481574396,-16.919284206690257,-15.943278627406093,-0.18665279668547324,0.19839013708820777,0.3491054042115264
contentFeaturization_foregroundColors##black,3.030359802541218,0.08171989291183558,2.4651067247186225,0.11955869875424864,0.38459938434423435,0.4179497338916059,0.06140385025512272,0.10382711237806207,27,-1.5700658345173377,0.11955869875424863,-7.979512090327316,-5.993892729814535,-0.15510645243107135,0.2097446895112568,0.49284552318306857
contentFeaturization_tags##tank_top,2.447466359810146,0.11771473474574227,2.6245571517308437,0.10837125567663813,0.3484417483006077,0.41291419718084504,0.08145327736418416,0.09521120219733464,6,-1.6200485028945415,0.10837125567663701,-15.614006328777352,-14.831760783995282,-0.1599198482946895,0.16699004927431726,0.0
contentFeaturization_tags##underwear,2.3418559233034824,0.12593942997750562,0.01791342380316295,0.8937972629434691,0.40960688806995144,0.4058000293030065,0.07653296337950191,0.1830827291450121,89,0.13384103930843808,0.8937972629434718,0.9381119990265896,0.1185925561608464,0.013382905316246502,0.2032732345153083,1.012472794215029
