,assetID,contentFeaturization.overallTone,contentFeaturization.visualContentDensity,contentFeaturization.orientation,contentFeaturization.visualAttentionSpread,contentFeaturization.peopleCategories,contentFeaturization.foregroundColors,contentFeaturization.backgroundColors,contentFeaturization.tags
0,https://www.maidenform.com/disruptors/banner-261-mf697-disrupt-1x1-bra-fitfinders-03.png,neutral,low,portrait,high,"['person', 'woman']","['orange', 'brown', 'khaki']","['orange', 'brown', 'khaki']","['laying', 'underwear', 'lingerie']"
1,https://www.maidenform.com/disruptors/underwear-6for36.jpg,neutral,high,portrait,low,"['person', 'woman']","['orange', 'khaki']","['dark_brown', 'off_white']","['text', 'tan', 'underwear', 'swimsuit', 'posing', 'wearing', 'wear', 'swimwear', 'sign', 'suit', 'holding', 'swim', 'lingerie']"
2,https://www.maidenform.com/disruptors/underwear-6for39.jpg,cool,low,portrait,low,"['person', 'woman']","['orange', 'off_white']",['lilac'],"['underwear', 'jacket', 'wearing', 'wear', 'lingerie']"
3,https://www.maidenform.com/images/catalog/catalog/product/H/N/HNS_07112/HNS_07112_Black_Front.jpg,neutral,low,portrait,low,"['person', 'woman']","['dark_brown', 'brown', 'khaki']","['white', 'off_white']","['hair', 'swimsuit', 'posing', 'wearing', 'wear', 'swimwear', 'lingerie']"
4,https://www.maidenform.com/images/catalog/catalog/product/H/N/HNS_07112/HNS_07112_BlackwEiffelGrey_Front.jpg,neutral,low,portrait,low,"['person', 'woman']","['dark_brown', 'brown', 'khaki']",['off_white'],"['hair', 'underwear', 'swimsuit', 'standing', 'posing', 'camera', 'wearing', 'waist', 'wear', 'stand', 'sports_bra', 'swimwear', 'undergarment', 'lingerie']"
5,https://www.maidenform.com/images/catalog/catalog/product/H/N/HNS_07112/HNS_07112_Gloss_Front.jpg,neutral,low,portrait,high,"['person', 'woman']","['dark_pink', 'dark_brown', 'brown']",['white'],"['robe', 'underwear', 'posing', 'pajama', 'silk', 'wearing', 'camisole', 'wear', 'satin', 'holding', 'undergarment', 'lingerie', 'pajamas']"
6,https://www.maidenform.com/images/catalog/catalog/product/H/N/HNS_07112/HNS_07112_LatteLift_Front.jpg,neutral,low,portrait,low,"['person', 'woman']","['dark_brown', 'brown']",['white'],"['underwear', 'posing', 'wearing', 'wear', 'sports_bra', 'tan', 'undergarment', 'lingerie']"
7,https://www.maidenform.com/images/catalog/catalog/product/H/N/HNS_07112/HNS_07112_SandshellPearl_Front.jpg,neutral,high,portrait,low,"['person', 'woman']","['orange', 'brown', 'khaki']","['white', 'khaki']","['underwear', 'skin', 'posing', 'wearing', 'wear', 'tan', 'lingerie']"
8,https://www.maidenform.com/images/catalog/catalog/product/H/N/HNS_07112/HNS_07112_UrchinTealBleachedIndigo_Front.jpg,neutral,low,portrait,low,"['person', 'woman']","['orange', 'brown', 'dark_brown']",['white'],"['lingerie', 'swimsuit', 'posing', 'wearing', 'wear', 'sports_bra', 'swimwear', 'suit']"
9,https://www.maidenform.com/images/catalog/catalog/product/H/N/HNS_07112/HNS_07112_White_Front.jpg,neutral,low,portrait,high,"['person', 'woman']","['dark_brown', 'brown', 'khaki']","['white', 'off_white']","['hair', 'underwear', 'posing', 'camera', 'wearing', 'wear', 'lingerie']"
10,https://www.maidenform.com/images/catalog/catalog/product/H/N/HNS_07959/HNS_07959_Black_Front.jpg,neutral,high,portrait,low,"['person', 'woman']","['orange', 'dark_brown']","['gray', 'white']","['hair', 'sitting', 'underwear', 'skin', 'posing', 'wearing', 'stomach', 'wear', 'abdomen', 'lingerie']"
11,https://www.maidenform.com/images/catalog/catalog/product/H/N/HNS_07959/HNS_07959_BodyBeige_Front.jpg,neutral,low,portrait,high,"['person', 'woman']","['orange', 'brown', 'khaki']",['white'],"['underwear', 'skin', 'posing', 'lace', 'wearing', 'wear', 'tan', 'undergarment', 'lingerie']"
